sample,cutoff,n_total_sequences,n_unique_sequences,group_1,group_2,total_count,fraction_expected,coverage
EPM2A_Tile2_S54,10,20158,1128,EPM2A,Tile2,1199,0.940783987,16.81234362
FRED3_10_S230,223.2282195,889666,1213,FRED3,10,1288,0.941770186,690.734472
SMAD4_Tile3_S177,10,26227,1246,SMAD4,Tile3,1323,0.941798942,19.82388511
FRED3_11_S231,316.4202336,817370,983,FRED3,11,1040,0.945192308,785.9326923
FRED1_1_S232,208.1833846,485457,974,FRED1,1,1025,0.950243902,473.6165854
FRED1_5_S236,208.1833846,841469,1254,FRED1,5,1318,0.951441578,638.4438543
ETV6_Tile4_S63,10,22810,1196,ETV6,Tile4,1254,0.953748006,18.18979266
BBS1_Tile3_S35,10,26280,1280,BBS1,Tile3,1340,0.955223881,19.6119403
FRED1_9_S240,223.2282195,701714,1231,FRED1,9,1288,0.955745342,544.8090062
EPM2A_Tile4_S56,10,25112,1186,EPM2A,Tile4,1236,0.959546926,20.3171521
Rac1_Tile3_S136,10,28784,1211,Rac1,Tile3,1259,0.961874504,22.86258936
PRKAG2_Tile4_S102,10,27387,1214,PRKAG2,Tile4,1262,0.961965135,21.70126783
PRKAG2_Tile2_S100,10,28780,1260,PRKAG2,Tile2,1308,0.963302752,22.0030581
FRED3_2_S222,208.1833846,789306,1295,FRED3,2,1344,0.963541667,587.28125
RHEB_Tile3_S155,18.10672911,50880,1182,RHEB,Tile3,1224,0.965686275,41.56862745
SMAD4_Tile9_S183,10,28370,1264,SMAD4,Tile9,1307,0.96710023,21.7061974
FRED3_5_S225,275.2061826,856981,1223,FRED3,5,1264,0.967563291,677.9912975
RUNX1_Tile9_S174,19.41525213,51892,1023,RUNX1,Tile9,1056,0.96875,49.14015152
RAB1A_Tile3_S112,10,31518,1294,RAB1A,Tile3,1334,0.970014993,23.62668666
AH_Tile_F8_S27,90.11761748,32114,107,AH,Tile_F8,110,0.972727273,291.9454545
ETV6_Tile7_S66,10,25940,1220,ETV6,Tile7,1253,0.973663208,20.70231445
PRKAG2_Tile9_S107,10,31496,1232,PRKAG2,Tile9,1265,0.973913043,24.89802372
RHEB_Tile2_S154,10,31043,1195,RHEB,Tile2,1224,0.97630719,25.3619281
BBS1_Tile5_S37,10,26277,1254,BBS1,Tile5,1282,0.978159126,20.49687988
RIT_Tile3_S163,10,28262,1172,RIT,Tile3,1198,0.978297162,23.59098497
AH_Tile_F10_S20,22.32282195,13342,194,AH,Tile_F10,198,0.97979798,67.38383838
NHLRC1_Tile4_S90,10,26636,1167,NHLRC1,Tile4,1190,0.980672269,22.38319328
FRED3_9_S229,339.2870449,950310,1226,FRED3,9,1247,0.983159583,762.0769848
PRKAG2_Tile5_S103,15.74830959,46641,1257,PRKAG2,Tile5,1278,0.983568075,36.49530516
PRKAG2_Tile3_S101,10,30069,1258,PRKAG2,Tile3,1279,0.983580923,23.50977326
AH_Tile_F9_S28,63.5761976,31050,130,AH,Tile_F9,132,0.984848485,235.2272727
SUFU_Tile9_S213,15.74830959,51274,1240,SUFU,Tile9,1259,0.984908658,40.72597299
FOXP3_Tile6_S74,10,26101,1159,FOXP3,Tile6,1176,0.985544218,22.19472789
RAP1a_Tile2_S150,15.74830959,52952,1236,RAP1a,Tile2,1254,0.985645933,42.22647528
EPM2A_Tile5_S57,10,27580,1188,EPM2A,Tile5,1205,0.985892116,22.8879668
NRAS_Tile2_S96,10,31617,1252,NRAS,Tile2,1267,0.98816101,24.95422257
SMAD4_Tile11_S185,16.88639617,40682,1007,SMAD4,Tile11,1019,0.988223749,39.92345437
AH_Tile_F11_S21,157.4830959,42390,87,AH,Tile_F11,88,0.988636364,481.7045455
RAB1A_Tile4_S113,20.81833846,52753,1065,RAB1A,Tile4,1077,0.988857939,48.9814299
RAB7A_Tile3_S116,16.88639617,48890,1165,RAB7A,Tile3,1178,0.988964346,41.50254669
CDC42_Tile4_S52,15.74830959,36757,1006,CDC42,Tile4,1017,0.989183874,36.1425762
RAB11B_Tile5_S123,19.41525213,50451,857,RAB11B,Tile5,865,0.990751445,58.32485549
RALA_Tile3_S140,31.64202336,83772,1083,RALA,Tile3,1093,0.990850869,76.64409881
RALA_Tile2_S139,15.74830959,48223,1127,RALA,Tile2,1137,0.991204925,42.41248901
Rac1_Tile1_S134,19.41525213,48124,1005,Rac1,Tile1,1013,0.992102665,47.50641658
RAN_Tile2_S144,31.64202336,75683,934,RAN,Tile2,941,0.992561105,80.4282678
RHEB_Tile1_S153,23.93603028,61778,987,RHEB,Tile1,994,0.992957746,62.15090543
STK11_Tile1_S194,181.0672911,358288,738,STK11,Tile1,743,0.993270525,482.218035
SMS_Tile2_S187,18.10672911,62807,1123,SMS,Tile2,1130,0.99380531,55.58141593
FRED1_8_S239,256.6582069,901189,1291,FRED1,8,1299,0.993841416,693.7559661
RAB11B_Tile4_S122,20.81833846,66418,1145,RAB11B,Tile4,1152,0.993923611,57.65451389
RAB7A_Tile1_S114,25.66582069,59632,820,RAB7A,Tile1,825,0.993939394,72.28121212
PRKAG2_Tile11_S109,20.81833846,65901,1002,PRKAG2,Tile11,1008,0.994047619,65.37797619
STK11_Tile6_S199,127.7393944,388933,1007,STK11,Tile6,1013,0.994076999,383.9417572
PRKAG2_Tile1_S99,20.81833846,54805,1022,PRKAG2,Tile1,1028,0.994163424,53.31225681
NHLRC1_Tile5_S91,10,35334,1231,NHLRC1,Tile5,1238,0.994345719,28.54119548
STK11_Tile11_S204,295.0945689,558550,706,STK11,Tile11,710,0.994366197,786.6901408
FOXP3_Tile4_S72,10,28137,1239,FOXP3,Tile4,1246,0.994382022,22.58186196
TANGO2_Tile6_S220,41.8288927,117756,909,TANGO2,Tile6,914,0.99452954,128.8358862
SMS_Tile8_S193,39.00976533,115396,921,SMS,Tile8,926,0.994600432,124.6177106
RAB18_Tile4_S127,22.32282195,76839,1154,RAB18,Tile4,1160,0.994827586,66.24051724
NHLRC1_Tile1_S87,15.74830959,38629,975,NHLRC1,Tile1,980,0.994897959,39.41734694
STK11_Tile8_S201,68.17067279,166288,980,STK11,Tile8,985,0.994923858,168.8203046
SUFU_Tile4_S208,20.81833846,73140,1230,SUFU,Tile4,1236,0.995145631,59.17475728
SUFU_Tile5_S209,36.38063771,127055,1252,SUFU,Tile5,1258,0.995230525,100.9976153
RAN_Tile4_S146,23.93603028,81250,940,RAN,Tile4,944,0.995762712,86.06991525
TANGO2_Tile4_S218,36.38063771,115703,1186,TANGO2,Tile4,1191,0.995801847,97.14777498
SMAD4_Tile10_S184,10,36155,1256,SMAD4,Tile10,1261,0.996034893,28.67168914
STK11_Tile10_S203,119.1301867,282981,1007,STK11,Tile10,1011,0.996043521,279.9020772
NRAS_Tile4_S98,22.32282195,63558,1009,NRAS,Tile4,1013,0.996051333,62.74234946
SUFU_Tile8_S212,25.66582069,85224,1176,SUFU,Tile8,1180,0.996610169,72.22372881
NHLRC1_Tile7_S93,10,29702,1243,NHLRC1,Tile7,1247,0.996792302,23.81876504
SUFU_Tile10_S214,68.17067279,174953,935,SUFU,Tile10,938,0.996801706,186.5170576
RHEB_Tile4_S156,20.81833846,72634,956,RHEB,Tile4,959,0.996871741,75.73931178
FRED3_3_S223,223.2282195,816274,1288,FRED3,3,1292,0.996904025,631.7910217
STK11_Tile7_S200,25.66582069,89517,1000,STK11,Tile7,1003,0.997008973,89.24925224
BBS1_Tile1_S33,18.10672911,44355,1056,BBS1,Tile1,1059,0.997167139,41.88385269
RALA_Tile1_S138,25.66582069,65333,786,RALA,Tile1,788,0.997461929,82.90989848
RAP1a_Tile3_S151,25.66582069,109513,1182,RAP1a,Tile3,1185,0.997468354,92.41603376
RAB11B_Tile1_S119,31.64202336,89397,892,RAB11B,Tile1,894,0.997762864,99.9966443
RAN_Tile3_S145,27.52061826,91995,951,RAN,Tile3,953,0.997901364,96.5320042
STK11_Tile4_S197,33.92870449,132829,1004,STK11,Tile4,1006,0.998011928,132.0367793
STK11_Tile9_S202,41.8288927,132150,1042,STK11,Tile9,1044,0.998084291,126.5804598
RAB7A_Tile4_S117,23.93603028,90999,1082,RAB7A,Tile4,1084,0.998154982,83.94741697
FOXP3_Tile3_S71,10,28790,1160,FOXP3,Tile3,1162,0.99827883,24.77624785
RAB7A_Tile5_S118,51.56861398,137531,856,RAB7A,Tile5,857,0.998833139,160.4795799
EPM2A_Tile1_S53,10,23763,874,EPM2A,Tile1,875,0.998857143,27.15771429
SMS_Tile1_S186,73.09717793,213631,887,SMS,Tile1,888,0.998873874,240.5754505
FOXP3_Tile9_S77,15.74830959,38571,915,FOXP3,Tile9,916,0.998908297,42.1080786
RAP1a_Tile1_S149,29.50945689,86600,945,RAP1a,Tile1,946,0.998942918,91.54334038
STK11_Tile5_S198,44.85175057,119972,960,STK11,Tile5,961,0.998959417,124.8407908
STK11_Tile2_S195,96.63016734,375487,984,STK11,Tile2,985,0.998984772,381.2050761
GATA2_Tile9_S86,10,24249,1042,GATA2,Tile9,1043,0.999041227,23.24928092
SMS_Tile4_S189,29.50945689,132301,1174,SMS,Tile4,1175,0.999148936,112.5965957
SMS_Tile7_S192,25.66582069,127813,1184,SMS,Tile7,1185,0.999156118,107.8590717
TANGO2_Tile3_S217,23.93603028,83823,1219,TANGO2,Tile3,1220,0.999180328,68.70737705
PRKAG2_Tile6_S104,20.81833846,82559,1242,PRKAG2,Tile6,1243,0.999195495,66.41914722
AH_Tile_F4_S24,339.2870449,30902,22,AH,Tile_F4,22,1,1404.636364
AH_Tile_F5_S25,901.1761748,107451,22,AH,Tile_F5,22,1,4884.136364
AH_Tile_F7_S26,316.4202336,25138,22,AH,Tile_F7,22,1,1142.636364
BBS1_Tile11_S43,19.41525213,55698,1056,BBS1,Tile11,1056,1,52.74431818
GATA2_Tile1_S78,22.32282195,62480,1039,GATA2,Tile1,1039,1,60.13474495
RAP1a_Tile4_S152,31.64202336,89677,917,RAP1a,Tile4,917,1,97.79389313
Rac1_Tile4_S137,22.32282195,73809,983,Rac1,Tile4,983,1,75.0854527
SUFU_Tile6_S210,31.64202336,141631,1154,SUFU,Tile6,1153,1.000867303,122.8369471
SMS_Tile6_S191,63.5761976,237953,1106,SMS,Tile6,1105,1.000904977,215.3420814
RHOA_Tile4_S160,10,39007,1062,RHOA,Tile4,1061,1.000942507,36.76437323
SMAD4_Tile1_S175,10,48063,998,SMAD4,Tile1,997,1.001003009,48.20762287
FOXP3_Tile7_S75,10,33748,1233,FOXP3,Tile7,1231,1.001624695,27.41510967
SUFU_Tile7_S211,29.50945689,121518,1177,SUFU,Tile7,1175,1.001702128,103.4195745
RUNX1_Tile1_S166,36.38063771,106124,1034,RUNX1,Tile1,1032,1.001937984,102.8333333
ETV6_Tile1_S60,18.10672911,44356,974,ETV6,Tile1,972,1.002057613,45.63374486
SUFU_Tile1_S205,59.29137466,155484,939,SUFU,Tile1,937,1.002134472,165.9381003
EPM2A_Tile7_S59,16.88639617,41543,901,EPM2A,Tile7,899,1.002224694,46.21023359
BBS1_Tile4_S36,10,35272,1393,BBS1,Tile4,1389,1.00287977,25.3938085
EPM2A_Tile6_S58,10,26802,1231,EPM2A,Tile6,1227,1.003259984,21.84352078
BCL10_Tile5_S48,16.88639617,38593,919,BCL10,Tile5,916,1.003275109,42.13209607
FRED3_4_S224,103.6133611,617877,1302,FRED3,4,1297,1.00385505,476.3893601
ETV6_Tile9_S68,10,26033,967,ETV6,Tile9,963,1.004153686,27.03322949
ARF1_Tile4_S32,20.81833846,48267,948,ARF1,Tile4,944,1.004237288,51.13029661
SUFU_Tile2_S206,29.50945689,109029,1249,SUFU,Tile2,1243,1.004827031,87.71440064
RALA_Tile4_S141,10,48959,1130,RALA,Tile4,1123,1.006233304,43.59661621
RAB18_Tile2_S125,10,46799,1049,RAB18,Tile2,1042,1.00671785,44.91266795
FOXP3_Tile5_S73,10,33423,1125,FOXP3,Tile5,1117,1.007162041,29.9221128
GATA2_Tile2_S79,19.41525213,67118,1397,GATA2,Tile2,1387,1.007209805,48.39077145
FRED1_3_S234,275.2061826,852447,1245,FRED1,3,1236,1.007281553,689.6820388
RAB27A_Tile2_S130,18.10672911,28945,1163,RAB27A,Tile2,1153,1.008673027,25.10407632
BCL10_Tile4_S47,16.88639617,65885,1222,BCL10,Tile4,1211,1.009083402,54.40545004
BCL10_Tile1_S44,10,29763,947,BCL10,Tile1,938,1.009594883,31.73027719
ETV6_Tile2_S61,10,31237,1228,ETV6,Tile2,1216,1.009868421,25.68832237
BCL10_Tile2_S45,256.6582069,1108281,1205,BCL10,Tile2,1193,1.010058676,928.9865884
FRED3_8_S228,418.288927,1462695,1262,FRED3,8,1249,1.010408327,1171.092874
PRKAG2_Tile8_S106,10,37874,1308,PRKAG2,Tile8,1294,1.010819165,29.26893354
RAB11B_Tile2_S120,10,39025,1161,RAB11B,Tile2,1147,1.012205754,34.02353967
SUFU_Tile3_S207,10,49366,1308,SUFU,Tile3,1291,1.013168087,38.23857475
SMS_Tile5_S190,10,52932,1192,SMS,Tile5,1175,1.014468085,45.04851064
RAB27A_Tile5_S133,10,35477,916,RAB27A,Tile5,902,1.015521064,39.33148559
CDC42_Tile1_S49,10,28410,1005,CDC42,Tile1,989,1.016177958,28.72598584
NRAS_Tile3_S97,10,43975,1317,NRAS,Tile3,1296,1.016203704,33.93132716
FRED1_6_S237,223.2282195,862802,1249,FRED1,6,1229,1.016273393,702.0358015
TANGO2_Tile5_S219,27.52061826,70696,1203,TANGO2,Tile5,1183,1.016906171,59.75993238
NHLRC1_Tile8_S94,10,31491,1004,NHLRC1,Tile8,987,1.017223911,31.90577508
NHLRC1_Tile2_S88,10,34487,1242,NHLRC1,Tile2,1218,1.019704433,28.31444992
TANGO2_Tile1_S215,84.04399167,261487,922,TANGO2,Tile1,900,1.024444444,290.5411111
SMAD4_Tile5_S179,10,38484,1275,SMAD4,Tile5,1242,1.026570048,30.98550725
RAB11B_Tile3_S121,10,38037,1155,RAB11B,Tile3,1125,1.026666667,33.81066667
RUNX1_Tile2_S167,10,52215,1396,RUNX1,Tile2,1359,1.027225901,38.42163355
ARF1_Tile1_S29,10,41073,943,ARF1,Tile1,918,1.027233115,44.74183007
FOXP3_Tile1_S69,15.74830959,37682,986,FOXP3,Tile1,954,1.033542977,39.49895178
FRED3_6_S226,146.8692623,463540,1320,FRED3,6,1276,1.034482759,363.2758621
FRED2_6_S248,136.9707656,790538,1205,FRED2,6,1157,1.041486603,683.2653414
FRED1_10_S241,119.1301867,747504,1291,FRED1,10,1235,1.04534413,605.2663968
RHOA_Tile3_S159,10,44013,1416,RHOA,Tile3,1353,1.046563193,32.52993348
FRED1_7_S238,223.2282195,781859,1307,FRED1,7,1246,1.048956661,627.4951846
FRED1_2_S233,146.8692623,596739,1331,FRED1,2,1266,1.051342812,471.3578199
RAB18_Tile3_S126,15.74830959,146186,1119,RAB18,Tile3,1063,1.052681091,137.5221072
FOXP3_Tile8_S76,10,46051,1258,FOXP3,Tile8,1187,1.059814659,38.79612468
RAB27A_Tile3_S131,10,16209,1204,RAB27A,Tile3,1136,1.059859155,14.26848592
FRED1_4_S235,103.6133611,621442,1329,FRED1,4,1253,1.060654429,495.9632881
NHLRC1_Tile3_S89,19.41525213,64979,1350,NHLRC1,Tile3,1269,1.063829787,51.20488574
FRED3_1_S221,168.8639617,912443,1123,FRED3,1,1050,1.06952381,868.9933333
TANGO2_Tile2_S216,39.00976533,137696,1203,TANGO2,Tile2,1116,1.077956989,123.3835125
FRED1_11_S242,363.8063771,971095,1071,FRED1,11,992,1.079637097,978.9264113
FRED2_11_S253,239.3603028,783999,1153,FRED2,11,1056,1.091856061,742.4232955
FRED2_5_S247,119.1301867,722307,1301,FRED2,5,1175,1.107234043,614.7293617
FRED2_10_S252,136.9707656,491627,1276,FRED2,10,1082,1.179297597,454.3687616
FRED2_9_S251,136.9707656,705969,1297,FRED2,9,1098,1.181238616,642.9590164
FRED2_8_S250,194.1525213,658041,1326,FRED2,8,1109,1.195671776,593.3642922
FRED2_3_S245,63.5761976,267574,1338,FRED2,3,1103,1.213055304,242.5874887
FRED2_7_S249,168.8639617,631201,1336,FRED2,7,1098,1.216757741,574.8642987
FRED2_2_S244,208.1833846,730829,1328,FRED2,2,1075,1.235348837,679.8409302
FRED2_1_S243,256.6582069,774439,1078,FRED2,1,856,1.259345794,904.7184579
FRED2_4_S246,127.7393944,450222,1283,FRED2,4,1018,1.260314342,442.2612967
RAB18_Tile1_S124,16.88639617,54906,1074,RAB18,Tile1,775,1.385806452,70.84645161
SMAD4_Tile2_S176,15.74830959,125488,2580,SMAD4,Tile2,1255,2.055776892,99.99043825
RAB18_Tile5_S128,10,31161,2040,RAB18,Tile5,831,2.454873646,37.49819495
